order_item_id,order_item_name,order_item_type,order_id
1,Finlay Xs Backpack,line_item,216
2,DELIVERY CHARGES,shipping,216
3,The Washable Silk Henley Tank,line_item,217
4,DELIVERY CHARGES,shipping,217
5,Black cotton dress 3 - M,line_item,2199
6,DELIVERY CHARGES,shipping,2199
7,Baby pink 2 tier cotton dress - XXS,line_item,2642
8,DELIVERY CHARGES,shipping,2642
9,Black cotton dress 3 - M,line_item,2643
10,DELIVERY CHARGES,shipping,2643
11,Grey high low georgette dress - 2XL,line_item,2655
12,DELIVERY CHARGES,shipping,2655
13,Lavender georgette dress - L,line_item,2667
14,Flat rate,shipping,2667
15,Lavender georgette dress - L,line_item,2669
16,DELIVERY CHARGES,shipping,2669
17,White stripes cotton dress - S,line_item,2670
18,DELIVERY CHARGES,shipping,2670
19,Lavender georgette dress - XL,line_item,2671
20,DELIVERY CHARGES,shipping,2671
21,Pink patchwork finish glace cotton 3 tier lehenga with blouse - S,line_item,2687
22,DELIVERY CHARGES,shipping,2687
23,Blue ikkat cotton dress - XL,line_item,2688
24,Black cotton dress 2 - XL,line_item,2688
25,DELIVERY CHARGES,shipping,2688
26,Black cotton dress 3 - S,line_item,2689
27,Grey georgette ruffles saree,line_item,2689
28,Violet chanderi suit 2 - S,line_item,2689
29,Flat rate,shipping,2689
45,Lavender georgette dress - S,line_item,2696
46,Red georgette dress - S,line_item,2696
47,White georgette dress - S,line_item,2696
48,Violet kalamkari cotton dress - S,line_item,2696
49,Pastel blue georgette dress - S,line_item,2696
50,Baby pink 2 tier cotton dress - S,line_item,2696
51,Black cotton dress 3 - S,line_item,2696
52,Grey high low georgette dress - S,line_item,2696
53,Maroon georgette dress - S,line_item,2696
54,Indigo cotton co-ord set - S,line_item,2696
55,Flat rate,shipping,2696
56,Pink patchwork finish glace cotton 3 tier lehenga with blouse - XL,line_item,2690
57,DELIVERY CHARGES,shipping,2690
58,Violet kalamkari cotton dress - M,line_item,2697
59,DELIVERY CHARGES,shipping,2697
60,Yellow cotton lehenga and blouse - 4XL,line_item,2698
61,DELIVERY CHARGES,shipping,2698
62,Maroon cotton dress - 4XL,line_item,2699
63,Violet kalamkari cotton dress - 4XL,line_item,2699
64,Flat rate,shipping,2699
65,Blue floral cotton dress 2 - XL,line_item,2700
66,DELIVERY CHARGES,shipping,2700
67,Black cotton dress 3 - XL,line_item,2701
68,Lilac 1 tier cotton dress - XL,line_item,2701
69,DELIVERY CHARGES,shipping,2701
70,Grey high low georgette dress - 4XL,line_item,2702
71,Lavender georgette dress - 4XL,line_item,2702
72,Flat rate,shipping,2702
73,Pastel green cotton dress - L,line_item,2703
74,DELIVERY CHARGES,shipping,2703
78,Green and white cotton dress - M,line_item,2705
79,Black chanderi suit - M,line_item,2705
80,DELIVERY CHARGES,shipping,2705
81,Black cotton dress 3 - M,line_item,2706
82,Flat rate,shipping,2706
83,Black cotton dress - 2XL,line_item,2707
84,DELIVERY CHARGES,shipping,2707
85,Cream glace cotton lehenga with blouse - L,line_item,2708
86,DELIVERY CHARGES,shipping,2708
87,Pink patchwork finish glace cotton 3 tier lehenga with blouse - M,line_item,2709
88,Black cotton dress 2 - M,line_item,2709
89,DELIVERY CHARGES,shipping,2709
93,Black cotton dress 3 - L,line_item,2711
94,DELIVERY CHARGES,shipping,2711
99,Black cotton dress 3 - M,line_item,2713
100,DELIVERY CHARGES,shipping,2713
101,Maroon georgette dress - XS,line_item,2714
102,DELIVERY CHARGES,shipping,2714
103,Black cotton dress 3 - XL,line_item,2735
104,Maroon georgette dress - XL,line_item,2735
105,DELIVERY CHARGES,shipping,2735
106,Cream glace cotton lehenga with blouse - XS,line_item,2712
107,DELIVERY CHARGES,shipping,2712
110,Grey high low georgette dress - S,line_item,2831
111,DELIVERY CHARGES,shipping,2831
112,Black chanderi suit - 2XL,line_item,2832
