ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-03-01,2122730.1810772,1970362.1782427062,2605790.821953124,2122730.1810772,2122730.1810772,166941.23152193744,166941.23152193744,166941.23152193744,166941.23152193744,166941.23152193744,166941.23152193744,0.0,0.0,0.0,2289671.4125991375
2022-04-01,2096980.0866347475,1882970.2529068599,2494659.0364154754,2096980.0866347475,2096980.0866347475,89273.44013636353,89273.44013636353,89273.44013636353,89273.44013636353,89273.44013636353,89273.44013636353,0.0,0.0,0.0,2186253.526771111
2022-05-01,2072060.6404411807,1832881.4100219975,2471519.1356666186,2072060.6404411807,2072060.6404411807,66208.0662056246,66208.0662056246,66208.0662056246,66208.0662056246,66208.0662056246,66208.0662056246,0.0,0.0,0.0,2138268.706646805
2022-06-01,2046310.5460979347,1084186.7830386178,1725830.5842000397,2046310.5460979347,2046310.5460979347,-639968.0349038895,-639968.0349038895,-639968.0349038895,-639968.0349038895,-639968.0349038895,-639968.0349038895,0.0,0.0,0.0,1406342.5111940452
2022-07-01,2021391.099928412,1273849.5092846397,1929670.8052943784,2021391.099928412,2021391.099928412,-422764.0903257832,-422764.0903257832,-422764.0903257832,-422764.0903257832,-422764.0903257832,-422764.0903257832,0.0,0.0,0.0,1598627.0096026286
2022-08-01,1995641.005650034,1397013.67889785,2025052.3801957467,1995641.005650034,1995641.005650034,-285463.2001026978,-285463.2001026978,-285463.2001026978,-285463.2001026978,-285463.2001026978,-285463.2001026978,0.0,0.0,0.0,1710177.8055473361
2022-09-01,1969890.9114238701,1247451.3877877635,1902740.9333994642,1969890.9114238701,1969890.9114238701,-417126.3469207393,-417126.3469207393,-417126.3469207393,-417126.3469207393,-417126.3469207393,-417126.3469207393,0.0,0.0,0.0,1552764.564503131
2022-10-01,1944972.0026708404,1353444.606466387,1970268.3113826143,1944972.0026708404,1944972.0026708404,-272758.4424634452,-272758.4424634452,-272758.4424634452,-272758.4424634452,-272758.4424634452,-272758.4424634452,0.0,0.0,0.0,1672213.560207395
2022-11-01,1919222.4638629986,1164805.9633619331,1829164.9519725873,1919222.4638629986,1919222.4638629986,-413363.9454008798,-413363.9454008798,-413363.9454008798,-413363.9454008798,-413363.9454008798,-413363.9454008798,0.0,0.0,0.0,1505858.518462119
2022-12-01,1894322.6507647638,1323672.6313018154,1943021.16845447,1894322.6507647638,1894322.6507647638,-261070.80413250974,-261070.80413250974,-261070.80413250974,-261070.80413250974,-261070.80413250974,-261070.80413250974,0.0,0.0,0.0,1633251.846632254
2023-01-01,1868597.878473852,1458619.3456290462,2099852.5742594646,1868597.878473852,1868597.878473852,-75546.97606540438,-75546.97606540438,-75546.97606540438,-75546.97606540438,-75546.97606540438,-75546.97606540438,0.0,0.0,0.0,1793050.9024084476
2023-02-01,1842873.114241177,1124528.2273023028,1800038.9933150273,1842873.114241177,1842873.114241177,-386652.8010409004,-386652.8010409004,-386652.8010409004,-386652.8010409004,-386652.8010409004,-386652.8010409004,0.0,0.0,0.0,1456220.3132002766
2023-03-01,1819637.8435123512,1313581.09952766,1979631.8657961576,1819637.8435123512,1819637.8435123512,-179756.63336050743,-179756.63336050743,-179756.63336050743,-179756.63336050743,-179756.63336050743,-179756.63336050743,0.0,0.0,0.0,1639881.2101518437
2023-04-01,1793921.5978340446,1538573.3211408434,2174269.154462916,1793921.5978340446,1793921.5978340446,65090.068411990746,65090.068411990746,65090.068411990746,65090.068411990746,65090.068411990746,65090.068411990746,0.0,0.0,0.0,1859011.6662460354
2023-05-01,1769061.1156745316,1781236.4972733173,2423583.651140883,1769061.1156745316,1769061.1156745316,342220.799842457,342220.799842457,342220.799842457,342220.799842457,342220.799842457,342220.799842457,0.0,0.0,0.0,2111281.9155169884
2023-06-01,1743372.564743374,842818.8692501457,1468049.6333410307,1743372.564743374,1743372.564743374,-595855.9588838255,-595855.9588838255,-595855.9588838255,-595855.9588838255,-595855.9588838255,-595855.9588838255,0.0,0.0,0.0,1147516.6058595486
2023-07-01,1718512.6767925855,1015298.8246412963,1662015.5537985023,1718512.6767925855,1718512.6767925855,-367839.16915443126,-367839.16915443126,-367839.16915443126,-367839.16915443126,-367839.16915443126,-367839.16915443126,0.0,0.0,0.0,1350673.5076381543
